Time;Order;SKU;MU;TU;Module;Step;Event
200,00;1501;501;1;0;1;Melter;Queue Up
200,00;0;0;0;1;1;Melter;Queue Down
200,00;1501;501;1;1;1;Melter;Start Process
200,10;1504;504;3;0;2;Melter;Queue Up
200,10;0;0;0;2;2;Melter;Queue Down
200,10;1504;504;3;2;2;Melter;Start Process
200,20;1506;506;5;0;3;Melter;Queue Up
200,20;0;0;0;3;3;Melter;Queue Down
200,20;1506;506;5;3;3;Melter;Start Process
204,00;1502;502;2;0;1;Melter;Queue Up
204,00;0;0;0;4;1;Melter;Queue Down
204,00;1501;501;1;1;1;Melter;End Process
204,00;1502;502;2;4;1;Melter;Start Process
206,10;1504;504;3;2;2;Melter;End Process
206,20;1506;506;5;3;3;Melter;End Process
208,00;1502;502;2;4;1;Melter;End Process
214,00;1501;501;4;0;2;Melter;Queue Up
214,00;0;0;0;5;2;Melter;Queue Down
214,00;1501;501;1;1;1;Preshaper;Queue Up
214,00;0;0;0;51;1;Preshaper;Queue Down
214,00;1501;501;4;5;2;Melter;Start Process
214,00;1501;501;1;1;1;Preshaper;Start Process
216,10;1504;504;3;2;3;Preshaper;Queue Up
216,10;0;0;0;52;3;Preshaper;Queue Down
216,10;1504;504;3;2;3;Preshaper;Start Process
216,20;1506;506;5;3;4;Preshaper;Queue Up
216,20;0;0;0;53;4;Preshaper;Queue Down
216,20;1506;506;5;3;4;Preshaper;Start Process
218,00;1502;502;2;4;2;Preshaper;Queue Up
218,00;0;0;0;54;2;Preshaper;Queue Down
218,00;1502;502;2;4;2;Preshaper;Start Process
218,10;1505;505;6;0;3;Melter;Queue Up
218,10;0;0;0;6;3;Melter;Queue Down
218,10;1505;505;6;6;3;Melter;Start Process
220,00;1503;503;7;0;4;Melter;Queue Up
220,00;0;0;0;7;4;Melter;Queue Down
220,00;1501;501;4;5;2;Melter;End Process
220,00;1503;503;7;7;4;Melter;Start Process
224,10;1505;505;6;6;3;Melter;End Process
225,00;0;0;0;51;1;Preshaper;Queue Down
226,00;0;0;0;1;1;Preshaper;Release TU
228,00;1501;501;1;51;1;Preshaper;End Process
228,00;1503;503;7;7;4;Melter;End Process
230,00;1501;501;4;5;1;Preshaper;Queue Up
230,00;0;0;0;55;1;Preshaper;Queue Down
230,00;1501;501;4;5;1;Preshaper;Start Process
231,00;0;0;0;54;2;Preshaper;Queue Down
231,10;0;0;0;52;3;Preshaper;Queue Down
232,00;0;0;0;4;2;Preshaper;Release TU
232,10;0;0;0;2;3;Preshaper;Release TU
233,00;1501;501;1;51;1;Conditioner;Queue Up
233,00;0;0;0;101;1;Conditioner;Queue Down
233,00;1501;501;1;51;1;Conditioner;Start Process
233,00;0;0;0;101;1;Conditioner;Queue Down
233,20;0;0;0;53;4;Preshaper;Queue Down
234,00;1502;502;2;54;2;Preshaper;End Process
234,00;0;0;0;51;1;Conditioner;Release TU
234,10;1504;504;3;52;3;Preshaper;End Process
234,10;1505;505;6;6;3;Preshaper;Queue Up
234,10;0;0;0;56;3;Preshaper;Queue Down
234,10;1505;505;6;6;3;Preshaper;Start Process
234,20;0;0;0;3;4;Preshaper;Release TU
235,10;1506;506;10;0;3;Melter;Queue Up
235,10;0;0;0;8;3;Melter;Queue Down
235,10;1506;506;10;8;3;Melter;Start Process
236,00;1502;502;8;0;1;Melter;Queue Up
236,00;0;0;0;9;1;Melter;Queue Down
236,00;1501;501;1;101;1;Conditioner;End Process
236,00;1502;502;8;9;1;Melter;Start Process
236,10;1504;504;9;0;2;Melter;Queue Up
236,10;0;0;0;10;2;Melter;Queue Down
236,10;1504;504;9;10;2;Melter;Start Process
236,20;1506;506;5;53;4;Preshaper;End Process
238,00;1503;503;7;7;2;Preshaper;Queue Up
238,00;0;0;0;57;2;Preshaper;Queue Down
238,00;1503;503;7;7;2;Preshaper;Start Process
239,00;1502;502;2;54;2;Conditioner;Queue Up
239,00;0;0;0;102;2;Conditioner;Queue Down
239,00;1501;501;1;101;1;Shaper;Queue Up
239,00;1502;502;2;54;2;Conditioner;Start Process
239,00;1501;501;1;101;1;Shaper;Start Process
239,00;0;0;0;102;2;Conditioner;Queue Down
239,10;1504;504;3;52;3;Conditioner;Queue Up
239,10;0;0;0;103;3;Conditioner;Queue Down
239,10;1504;504;3;52;3;Conditioner;Start Process
239,10;0;0;0;103;3;Conditioner;Queue Down
240,00;1502;502;8;9;1;Melter;End Process
240,00;0;0;0;54;2;Conditioner;Release TU
240,10;0;0;0;52;3;Conditioner;Release TU
241,00;0;0;0;55;1;Preshaper;Queue Down
241,00;1501;501;1;101;1;Shaper;End Process
241,10;1506;506;10;8;3;Melter;End Process
241,20;1506;506;5;53;4;Conditioner;Queue Up
241,20;0;0;0;104;4;Conditioner;Queue Down
241,20;1506;506;5;53;4;Conditioner;Start Process
241,20;0;0;0;104;4;Conditioner;Queue Down
242,00;0;0;0;5;1;Preshaper;Release TU
242,10;1504;504;9;10;2;Melter;End Process
242,20;0;0;0;53;4;Conditioner;Release TU
243,00;1502;502;2;102;2;Conditioner;End Process
244,00;1501;501;4;55;1;Preshaper;End Process
244,10;1504;504;3;103;3;Conditioner;End Process
246,00;1502;502;2;102;1;Shaper;Queue Up
246,00;1502;502;2;102;1;Shaper;Start Process
246,00;0;0;0;101;1;Conditioner;Queue Down
247,10;1504;504;3;103;2;Shaper;Queue Up
247,10;1504;504;3;103;2;Shaper;Start Process
247,20;1506;506;5;104;4;Conditioner;End Process
248,00;1502;502;2;102;1;Shaper;End Process
249,00;1501;501;4;55;1;Conditioner;Queue Up
249,00;0;0;0;105;1;Conditioner;Queue Down
249,00;1501;501;4;55;1;Conditioner;Start Process
249,00;0;0;0;105;1;Conditioner;Queue Down
249,10;0;0;0;56;3;Preshaper;Queue Down
250,00;1502;502;8;9;2;Preshaper;Queue Up
250,00;0;0;0;55;1;Conditioner;Release TU
250,10;0;0;0;6;3;Preshaper;Release TU
250,20;1506;506;5;104;2;Shaper;Queue Up
251,00;0;0;0;57;2;Preshaper;Queue Down
251,10;1504;504;3;103;2;Shaper;End Process
251,10;1506;506;5;104;2;Shaper;Start Process
251,10;1506;506;10;8;4;Preshaper;Queue Up
251,10;1506;506;10;8;4;Preshaper;Start Process
252,00;1503;503;12;0;3;Melter;Queue Up
252,00;0;0;0;11;3;Melter;Queue Down
252,00;0;0;0;7;2;Preshaper;Release TU
252,00;1501;501;4;101;1;Conditioner;End Process
252,00;1503;503;12;11;3;Melter;Start Process
252,10;1505;505;6;56;3;Preshaper;End Process
252,10;1504;504;9;10;3;Preshaper;Queue Up
252,10;0;0;0;58;3;Preshaper;Queue Down
252,10;1504;504;9;10;3;Preshaper;Start Process
254,00;1503;503;7;57;2;Preshaper;End Process
254,00;1502;502;8;9;2;Preshaper;Start Process
254,10;1505;505;11;0;4;Melter;Queue Up
254,10;1505;505;11;5;4;Melter;Start Process
255,00;1501;501;4;101;1;Shaper;Queue Up
255,00;1501;501;4;101;1;Shaper;Start Process
255,10;1506;506;5;104;2;Shaper;End Process
256,00;0;0;0;51;4;Preshaper;Queue Down
256,00;0;0;0;54;1;Preshaper;Queue Down
257,00;1501;501;4;101;1;Shaper;End Process
257,10;1505;505;6;56;3;Conditioner;Queue Up
257,10;0;0;0;106;3;Conditioner;Queue Down
257,10;1505;505;6;56;3;Conditioner;Start Process
257,10;0;0;0;106;3;Conditioner;Queue Down
258,00;1506;506;15;0;3;Melter;Queue Up
258,00;0;0;0;12;3;Melter;Queue Down
258,00;1503;503;12;11;3;Melter;End Process
258,00;1506;506;15;12;3;Melter;Start Process
258,10;0;0;0;103;4;Conditioner;Queue Down
258,10;0;0;0;56;3;Conditioner;Release TU
259,00;1503;503;7;57;2;Conditioner;Queue Up
259,00;0;0;0;107;2;Conditioner;Queue Down
259,00;1503;503;7;57;2;Conditioner;Start Process
